# [SONNET-4.6] SP2Bench EC2/nightly correctness oracle.
# scale<TAB>query<TAB>rows. The 5M and 25M entries are from Table V of the
# SP2Bench paper. The 100M entries are size-invariant query results.
250000	q05a	6933
250000	q06	12093
250000	q12a	1
5000000	q01	1
5000000	q03c	0
5000000	q08	493
5000000	q09	4
5000000	q10	656
5000000	q11	10
5000000	q12a	1
5000000	q12b	1
5000000	q12c	0
25000000	q01	1
25000000	q03c	0
25000000	q08	493
25000000	q09	4
25000000	q10	656
25000000	q11	10
25000000	q12a	1
25000000	q12b	1
25000000	q12c	0
100000000	q01	1
100000000	q03c	0
100000000	q09	4
100000000	q11	10
100000000	q12a	1
100000000	q12b	1
100000000	q12c	0
